medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code,age
Silver,2,2024-08-09,Pedro PICHARDO,POR,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1938792,31.0
Bronze,3,2024-08-09,Andy DIAZ HERNANDEZ,ITA,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1552375,28.0
Gold,1,2024-08-09,Beatrice CHEBET,KEN,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1910560,24.0
Silver,2,2024-08-09,Nadia BATTOCLETTI,ITA,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1552305,24.0
Bronze,3,2024-08-09,Sifan HASSAN,NED,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1972105,31.0
Gold,1,2024-08-09,United States,USA,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--USA01,
Silver,2,2024-08-09,Great Britain,GBR,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--GBR01,
Bronze,3,2024-08-09,Germany,GER,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--GER01,
Gold,1,2024-08-09,Marileidy PAULINO,DOM,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1899666,27.0
Silver,2,2024-08-09,Salwa Eid NASER,BRN,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1915338,26.0
Bronze,3,2024-08-09,Natalia KACZMAREK,POL,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1573098,26.0
Gold,1,2024-08-09,Yemisi OGUNLEYE,GER,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1920183,25.0
Silver,2,2024-08-09,Maddison-Lee WESCHE,NZL,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1926695,25.0
